donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies
"Master's in Language. has dark wavy hair and a kind smile. With a master’s in translation, he calls language “a cultural code to any nation.” He thinks his motorcycle is the perfect symbol for the (responsible and disciplined) “free spirit” he is. His favorite tradition involves gathering with his Kazakhstani family to share dreams for the new year. He believes you can choose to be happy, that our souls share an inseparable bond with nature, and reading about history is the next best thing to a time machine.",5'11 (180cm),188 lbs (85kg),Brown,Black,,Master,Linguistics,Caucasian,,,
"Memorable Multi-Linguist. Warm brown eyes compliment 's exotic good looks and athletic physique. Kind, friendly, and intelligent, this well-rounded donor is an eternal optimist. With a passion for helping others and a strong, competitive spirit, he has amassed a lifetime of success at a very young age. He speaks three foreign languages (Arabic, Farsi, French), has played professional soccer, and is currently finishing a post-doctoral fellowship in biochemistry. Compassionate and altruistic, he also enjoys reading, playing piano and spending time with loved ones. His motivation for being a donor? To help others achieve their dream of starting a family.. Mike Batayeh Prince Naseem",5'10 (178cm),137 lbs (62kg),Brown,Black,,Postgraduate,"Biochemistry, Cell Biology",Middle Eastern or Arabic,,,
"6-Foot CPA. This driven and resourceful CPA dreams of one day dining with Bill Gates, but money isn’t his top priority; friends and family come first. He’s seriously smart though, with a 3.9 HS GPA and a BA in business. He has a friendly smile, high cheekbones and a 6-foot frame he keeps fit by running. His big, happy Vietnamese family is healthy too, with grandparents living into their 80s and 90s. Oh — and he also gardens, raises chickens, and makes a mean tiramisu. Is there anything this donor can’t do?!",6' (183cm),167 lbs (76kg),Brown,Dark Brown,,Bachelor,"Accounting, Business Administration",Asian,,,
"Community First. has brown eyes, smooth skin, and a clean-cut look. (Adult Photos Available) Humble and altruistic, in addition to serving in the military he also enjoys volunteering. Some of his good deeds include delivering food to senior citizens and driving veterans home from the airport. As a young child, he dreamed of becoming an FBI agent or joining the special forces in the military, and after he moved to the U.S., he joined the military and earned a degree in economics. Some of his special skills include math, rifle shooting, and fluency in Mandarin. He stays active participating in sports like basketball, swimming, cross-country, and karate.",5'7 (170cm),187 lbs (85kg),Brown,Black,,Bachelor,Economics,Asian,,,
"Humble Beginnings. Tall with bright eyes, sought to experience life outside of the village where he was born. This bi-lingual computer programmer is proud of his accomplishments and happy that he’s been able to travel the world and live in different cities. Although he’s an ocean away from his relatives, he has a close relationship with his wife. He looks forward to starting a family of his own one day and is excited to help others have children. Friendly, personable, and intelligent, our staff enjoyed getting to know him.. Woody Harrelson (cheers) Kristaps Porzingis",6'1 (185cm),165 lbs (75kg),Grey,Light Brown,,Bachelor,Computer Info Systems,Caucasian,,,
"Ballet-Loving Builder. This 6’4” real estate contractor excelled in high school (salutatorian, 33 on his ACT, varsity athlete) but also won a business competition in college. Today he values productivity as much as empathy. He craves daily exercise (including weight training three times a week) but is most impressed with the grace of ballet. The greatest gift to him: being able to spend time with his elders. And check out his donor conversation or “Express Yourself” to discover his not-so-hidden talent: incredible eloquence.",6'4 (193cm),213 lbs (97kg),Brown,Black,,Bachelor,Business Administration,"Caucasian, East Indian, Middle Eastern or Arabic",,,
A Man for a Cause,5'7 (170cm),126 lbs (57kg),Brown,Black,,Bachelor,"Business Administration, Marketing",Asian,,,
"Serious Globetrotter. With his thick, wavy, black hair, cute dimples, and cleft chin, combines the looks of actors Chin Han and Won Bin with the oh-so sweet serve of tennis star Zhang Ze. He’s a multilingual (English, Chinese, Spanish, and some Japanese) economics grad enjoying a fast-paced life travelling the world as a management consultant. Yet, it’s where things are slower – places like Tibet, Ethiopia, and remote regions of China – that hold special appeal to this friendly and fearless omnivore.**The pictures provided are meant to represent the interests and/or activities of the donor. These are not photographs of the donor engaging in the activities.**. Chin Han Won Bin",5'8 (173cm),146 lbs (66kg),Brown,Black,,Bachelor,Economics,Asian,,,
"Surfing STEM Student. To give a sense of , he earned the nickname “Smiles” growing up. With his happy demeanor and driven personality, he proudly accomplished Eagle Scout rank. He’s a top mathematics scholar pursuing mechanical engineering, and even scored a 35 out of 36 on the ACT. This dimpled donor’s hobbies are just as impressive as his studies. Between surfing, water polo, and backpacking, it’s safe to say he loves an outdoor adventure. He’s even working on card magic tricks and improv comedy skills!",5'8 (173cm),195 lbs (88kg),Brown,Brown,,Bachelor,"Mechanical Engineering, Political Science","Caucasian, Hispanic or Latino",Christian,,
"A Cross-Country Communicator. An eloquent speaker, has his master’s in communications —graduating early, with a 4.0. A lifelong lover of the outdoors, he competed in cross country, as well as skiing (downhill and cross country) in high school. He once joined a community service group to make new friends. It worked, and earned him 240 service hours. He gets his quick thinking and DIY car repair skills from his dad and believes, if you’re willing, you can learn anything. When a conversation gets heated, he will always lead the party out of conflict, toward a solution. And he likes how dogs are always happy to see you.",6' (183cm),183 lbs (83kg),Blue,Dark Blond,,Master,Communications,Caucasian,,,
"Spontaneous Scholar. This well-educated scholar is not only excellent in the classroom—he is also quite the adventurer! With a master’s degree in finance and risk management, uses his intellectual skills by day as a financial services employee. In his off time, he enjoys exploring his curious side; he loves studying Chinese history and traveling the world. In his younger days, he even took a spontaneous 10-day road trip across the country! His adventurous side extends to his hobbies, which include badminton, karate, and snowboarding. He is also quite the people-person, and his friendly, warm smile helps him attract many close friends whom he values highly.. Aaron Yoo",5'11 (180cm),165 lbs (75kg),Brown,Dark Brown,,Master,Finance,Asian,Taoism,,
"Skateboarding Photographer. loves to laugh, especially at himself! He loves socializing, but also cherishes “me time” to express his creativity through photography and writing. Very athletic, he loves basketball and skateboarding, and dreams of one day backpacking through Iceland. He has Salvadorian and Mexican ancestry, with full lips and thick dark hair. This donor is very close to his mother, who he admires for her unshakable inner strength, and making his favorite childhood dessert: vanilla ice cream with Flamin’ Hot Cheetos!",5'9 (175cm),165 lbs (75kg),Brown,Dark Brown,,Bachelor,"Business, Business Administration, Information Systems and Mgmt, Marketing",Hispanic or Latino,Christian,,
"Fit & Focused Filmmaker. isn’t afraid to push his limits. Lean and muscular, this triathlete loves working out at the gym. Methodical by nature and physically fit, he trained with the ROTC. This analytical thinker has a good head on his shoulders and is passionate about his film work. Charismatic and social, he’s a great conversationalist. Always up for an adventure, he’s interested in learning about different cultures and trying new things.. Hu Ge Puttichai Kasetsin",5'10 (178cm),184 lbs (83kg),Brown,Dark Brown,,Bachelor,Film,Asian,,,
"The Rising Star. is a brown-eyed African American man of many talents. He's getting his master’s in acting and is super athletic, having been a championship wrestler and practicing mixed martial arts religiously. This aspiring thespian always maintains a 3.0+ GPA and is passionate about his craft, honing his skills in performing, writing short films, and doing stand-up comedy. He can even stitch a costume or two! We won’t be surprised if he makes it to the big screen – his charisma is contagious.",5'11 (180cm),206 lbs (93kg),Brown,Black,,Master,"Acting, Theatre",Black or African American,Baptist,,
"Bilingual Brainiac. Intelligent and focused, is proud of the life that he has built for himself. This neuroscientist and researcher knew what he wanted to do since childhood and feels that it’s a privilege to be doing what he loves. Preparation, patience, and curiosity helped him achieve his goals. He’s earned scholarships, research awards, and even a perfect SAT score in math. This science guy also has a creative side, he enjoys writing, painting, and wearing fun hats and sneakers. Kind and respectful, he has a friendly smile and attractive features.. Jackson Wang Karry Wang",5'8 (173cm),132 lbs (60kg),Brown,Black,,Postgraduate,"Bioinformatics, Ethnology, Neuroscience",Asian,,,
"Comedian-In-Law. At 6’4”, is a gentle giant with a heart of gold, hazel eyes, and dark wavy hair. He got his B.S. in mechanical engineering and went further to get his J.D. in patent law. When he isn’t busy in court, he weightlifts and performs stand-up comedy. The only thing more admirable than his accomplishments is his faith in humanity and the good in people. He’s most proud of his connections to family and friends – because having people he loves is the greatest gift.",6'4 (193cm),244 lbs (111kg),Hazel,Dark Brown,,Postgraduate,"Law, Mechanical Engineering",Caucasian,,,
"6’0” Generous Genius. After his grandparents gifted him Legos as a child, was fascinated with building and innovation. With a BS in com sci (3.9 GPA), he’s now a director of engineering. This 6’0”, brown-eyed guy is proud of his success, as it’s allowed him to finance his little sister’s college tuition and his parents’ home. He’s always been eager and disciplined: playing on two varsity teams in high school, achieving a near-perfect ACT score, and even debating and doing Model UN to get out of his comfort zone.",6' (183cm),164 lbs (74kg),Brown,Dark Brown,,Bachelor,Computer Science,"Asian, Caucasian",,,
"Lean On Me. This 6’1”, broad-shouldered nursing student might have a twin brother, but he’s one of a kind! Bilingual in Mandarin and English, is a skilled communicator who enjoys talking to people from all over the world. While he’s accomplished plenty at such a young age, this self-starter remains most proud of paying his own tuition with no support from his parents – and learning his trade in a second language, to boot! In his free time, this art enthusiast likes to read and write.. Tim Chantarangsu Eddie Huang",6'1 (185cm),197 lbs (89kg),Black,Black,,Bachelor,"Language, Literature, Nursing",Asian,,,
"Ideal Role Model. Although he’s often complimented on his gorgeous green eyes, long hair, and charming smile, ’s favorite compliment is how great of a role model he is. He strives to always lead by example for others. This skilled athlete with a BA in hospitality has played in state championships for hockey and football, and still works out every day. He loves to read about new subjects and is currently fascinated by longevity and blue zones. He’s loyal, dependable, and an expert conversationalist.",5'10 (178cm),155 lbs (70kg),Green,Brown,,Bachelor,Hospitality Management,Caucasian,Catholic,,
"Highly Motivated Optimist. When describes himself as motivated with a positive attitude, he’s not kidding. This blue-eyed operations management student is driven; working as a project manager and serving in the military. He’s even looking ahead, with aspirations of obtaining an MBA and starting his own property management company. He knows the importance of giving back and is most proud of his volunteer work at orphanages. Additionally, he’s a lifelong athlete who loves rock climbing, snowboarding, and more!",5'11 (180cm),185 lbs (84kg),Blue,Light Brown,,Bachelor,"Engineering, Management",Caucasian,,,
"6'1"" Scientist. This donor is 6'1” with blue eyes and wavy, brown hair. He has a master's (and a bachelor's) degree in biomedical engineering. He was an all-state football player and wrestler in high school and wrestled in college. Super close to both of his parents, he loves going to museums with his mom and watching sports with his dad.",6'1 (185cm),185 lbs (84kg),Blue,Light Brown,,Master,Biomedical Engineer,Caucasian,Christian,,
"Lifelong Learner. Ever since first learned to read, he’s always had his nose in a book. Currently, he enjoys financial journalism and investment books. This love of reading has also made him a strong writer, and he loves creating short stories about his time in the military and other personal experiences. This 6’2” guy with hazel eyes is now a full-time student, pursuing a BS in accounting (3.9 GPA). His strong and outgoing personality has made him eager to explore new hobbies, like rock climbing and coding!",6'2 (188cm),192 lbs (87kg),Hazel,Brown,,Bachelor,"Accounting, Business Administration",Caucasian,Agnostic,,
"Meet the Maestro. gets a standing ovation for his skills in music alone! Outside of playing the violin, piano, tuba, clarinet, and guitar, he also produces his own mixes. This software engineer works at a top-tier company and practices judo regularly. But that’s not all – Mr. Smarty built his very own robot and programmed it to dispense drinks while he enjoys his favorite pastime, video games. If you were to ask his friends, they’d describe him as down-to-earth, friendly, and the nicest guy.",5'8 (173cm),175 lbs (79kg),Brown,Black,,Bachelor,Electrical Engineering,Asian,Christian,,
"Fit & Funny. is as athletic as he is hilarious! At 6’2” with curly hair, this cutie loves to make others laugh. He currently works as a manager but has really enjoyed volunteering as a youth football coach. With a laundry list of athletic accomplishments, he’s well-equipped to help kids achieve excellence in sports. He’s a fun-loving guy who always goes with the flow – and cares deeply for the environment! He collects trash wherever he can to help protect wildlife and keep the planet clean.",6'2 (188cm),225 lbs (102kg),Brown,Light Brown,,Other,General Studies,Caucasian,Catholic,,
"Mr. Congeniality. There’s just something about. Standing at 6’1”, his deep-brown eyes and dimpled smile (which some say resemble Josh Hartnett’s) instantly draw you in, but it’s his confidence and humor that truly impresses. Off the record, this donor has plenty of reasons to brag. Aside from his bilingual Spanish skills, athleticism, and successful career in sports therapy, he has a talent for making friends everywhere he goes. One clear testament to this: he’s been the best man in three weddings and counting.",6'1 (185cm),212 lbs (96kg),Brown,Dark Brown,,Other,Kinesiology,Hispanic or Latino,Jehovah’s Witness,,
"Green-Eyed Dentist. A goodhearted dentist who cooks and speaks fluent Arabic? Sign us up! has emerald green eyes, brown hair and full lips but there's more to love. Outside of his orthodontic fellowship, he enjoys CrossFit and learning new things in the kitchen. If that wasn't impressive enough, he's genuinely a good person with a kind and thoughtful nature. When one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",5'9 (175cm),210 lbs (95kg),Green,Brown,,Master,Dentistry,Middle Eastern or Arabic,Christian Orthodox,,
"6'4 & Funny. moved to the United States from China alone. He made an extremely daunting task look easy, picking up English quickly and earning an acceptance from a college with a great accounting program. Now that he’s in school, he’s adapting to American life quite well—his new friends love his quirky sense of humor, down-to-earth personality, and thoughtfulness. When he’s looking for a good time, this 6’4’’ guy enjoys hitting the gym, playing basketball, and singing!. Andy Lau Sun Ming Ming Leslie Cheung",6'4 (193cm),168 lbs (76kg),Brown,Black,,Bachelor,Accounting,Asian,Agnostic,,
"Caring Military Man. This donor’s proudest moment came in the military, when he was inspecting an aircraft and caught a leak one minute before takeoff, potentially saving the pilots' lives. “I’ll never forget the handshake and ‘thank you’ that I received from both of those pilots,” he says. Standing 6’ tall with dimples, blue eyes, and long curly hair, speaks with confidence and authority. Helping people is his life's mission; he’s studying psychology in college and hopes to become a counselor.. Justin Kirk Michael Muhney",6' (183cm),164 lbs (74kg),Blue,Brown,,Bachelor,"Kinesiology, Music Engineering Technology, Psychology","American Indian or Alaska Native, Caucasian",,,
"Empathetic Listener. may be shy when you first get to know him, but that only means he’s an incredible listener. This blue-eyed cutie loves staying active playing soccer, weight training, and solo traveling across America. He's known as Mr. Reliable to his friends and family and is a hard worker, fully dedicating his time to accomplishing his goals. ’s childhood was steeped in loving traditions – he shared a recipe for a German dish that’s been in his family for generations.",5'8 (173cm),220 lbs (100kg),Blue,Red Brown,,Bachelor,"Kinesiology, Nursing",Caucasian,,,
"6’1” Culinary Talent. is a lifelong student at heart. A total bookworm as a kid, this 6’1” software engineer still loves to learn. He’s a skilled home cook who enjoys exploring culinary techniques and cuisines. His most recent creation? Homemade soba noodles! He’s also teaching himself electric guitar and music production, although his 20 years of experience with piano are a strong foundation. His bedtime routine even includes reading about random subjects on Wikipedia in hopes of being on a gameshow one day!",6'1 (185cm),187 lbs (85kg),Brown,Black,,Bachelor,Environmental Studies,Asian,Christian,,
"Black Belt CPA. With dazzling green eyes and a genuine personality, lights up any room. After achieving an MA in accounting and his CPA certification, he now works as a senior associate at a public accounting firm. Soccer is his favorite sport to play, but he also earned a black belt in Tae Kwon Do growing up. This outgoing guy is happiest snorkeling on a beach. He also has perfected a recipe for bacon-wrapped jalapeno poppers and was kind enough to leave it in his “Express Yourself” section!",5'7 (170cm),186 lbs (84kg),Green,Light Brown,,Master,Accounting,Caucasian,,,
"Outward Bounder. Armed with just a map and a compass, makes his mark on history by trekking remote landscapes. Standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. He did just that when he hiked thousands of miles through national forests to reach untouched summits. Whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6' (183cm),145 lbs (66kg),Blue,Brown,,Other,Business Management,"American Indian or Alaska Native, Caucasian",Christian,,
"Tri-Lingual Cutie. Outgoing and sociable, loves getting to spend time with his family and friends, whether playing sports, watching movies, or even traveling. This tri-lingual cutie with deep brown eyes stays in good shape and is always nicely dressed. He’s currently attending school to become a therapist, a perfect occupation for someone with his passion for helping others and zest for learning. Very dedicated to his studies, all his hard work paid off when he was accepted into his Master’s program, one of his proudest accomplishments to date.. Ahsan Khan Naveen Andrews",5'9 (175cm),182 lbs (83kg),Brown,Dark Brown,,Master,"Philosophy, Psychology",East Indian,Presbyterian,,
"Resilient Engineer. He had us at aerospace engineer! Currently working toward a BS in aviation, can fix any car and diagnose any engine. He has big brown eyes, a sly smile and a killer jawline, but he’s even prouder of who he is on the inside: kind, patient and a good listener. He's an excellent soccer player too, and his resilience and drive are unparalleled. After moving to the US at age 12, he worked nonstop to learn English in just 6 months. “Through the learning of English, I have found my voice,” he says.",5'8 (173cm),171 lbs (78kg),Brown,Light Brown,,Other,Aerospace Engineering,"Caucasian, Hispanic or Latino",Catholic,,
"The Organizer. is the friend you want to take on vacation to make sure everyone sticks to the plan. Detail oriented and orderly, he will make sure everything is in place and everyone is on time. He loves to cook and enjoys watching shows that inspire him to be a better chef. Always with a good book in hand, a well thought out plan and the will power to follow through, this donor is reliable and dependable to the people in his life. He may not be the life of the party, but he will make sure it is smashing success – and that there are plenty of coasters to go around.. A.R. Rahman Sachin Tendulkar",5'11 (180cm),180 lbs (82kg),Brown,Black,,Postgraduate,Electrical Engineering,East Indian,Islam,,
"Good Vibes & Green Eyes. believes that happiness is key. This 6’2” recruiter with a BA in finance is success driven in his professional life, but always makes room for play. To him, fun takes the form of enjoying EDM and deep house music at every opportunity. As a former state-level competitor in swimming and wrestling, he maintains a fit lifestyle by working out nearly every day. Energetic and upbeat, this green-eyed guy brings a stellar vibe everywhere he goes.",6' (183cm),232 lbs (105kg),Green,Brown,,Bachelor,Finance,"Caucasian, Native Hawaiian or Other Pacific Islander",,,
"Outdoorsy Engineer. Instead of wasting time on his phone or watching TV, dives into his awesome career and hobbies! Now an engineer, he succeeded academically in high school and then got a BS in environmental engineering. Active and outdoorsy, this donor spends his free time surfing, skiing and boating. He’s full of love for his extremely great parents: his petite, motorcycle-riding engineer mom and his hilarious, boat-loving engineer dad. He has fair skin, blue eyes and German/Scottish ancestry.",5'6 (168cm),144 lbs (65kg),Blue,Brown,,Bachelor,Environmental Engineering,Caucasian,Christian,,
"Intelligent Graphic Design. This creative soul holds a Bachelor’s degree in Graphic Design, but his artistic sensibilities extend far beyond that marketable skill. An amateur filmmaker who composes the scores to his own films, makes a point of understanding every element of his many crafts. When he’s not working toward his artistic goals, this bilingual ping-pong master spends his time in church or reading about the latest high fashion trends.. Daniel Henney Park Seo-joon",6' (183cm),145 lbs (66kg),Brown,Black,,Bachelor,Graphic Design,Asian,Christian,,
"Blue-Eyed Brainiac. His striking blue eyes and fair skin give away his Irish ancestry, but you might not guess that is also part Argentinian and speaks both English and Spanish. A brainiac with a 3.9 HS GPA, he's also an accomplished athlete who played varsity basketball. Plus, he's creative; this guy's passion for gold and silver smithing inspired him to go backpacking in the mountains to prospect for gold. He went mining and panning, and even found some gems! A true original.",5'10 (178cm),136 lbs (62kg),Blue,Brown,,Bachelor,"Real Estate, Sciences",Caucasian,,,
"Caring Entrepreneur. has a passion for fitness and an entrepreneurial spirit! With an MS in healthcare administration (3.85 GPA), this specialty gym owner works with children in remission from cancer. Although he’s upbeat and caring in his professional life, this curly-haired donor isn’t afraid to tap into his quiet side too. As a former choreographer, music’s one of his most cherished outlets. From playing acoustic guitar to trying new foods to competing in obstacle course races, he’s always a magnet for fun!",5'7 (170cm),190 lbs (86kg),Brown,Black,,Postgraduate,"Health Management, Journalism, Marketing, Physical Therapy",Black or African American,Christian,,
"Homecoming King. is a powerlifter with dimples, the brightest smile, and an MFA in filmmaking, graduating magna cum laude with a 3.9 GPA. The indomitable competitive spirit he honed as a preternaturally gifted young athlete—playing soccer, surfing, winning “Rookie of the Year” in acrobatics, etc.—serves this aspiring filmmaker well on his fast-track ride to the top of a tough industry. For fun, this ambidextrous former homecoming king enjoys snowboarding, practicing krav maga, and bull riding.",5'5 (165cm),167 lbs (76kg),Black,Black,,Master,"International Studies, Marketing, Media Arts","Black or African American, American Indian or Alaska Native, Mixed or Multi Ethnic",Baptist,,
"Adventurous MVP. This 6’2” real estate mogul in the making is always pushing himself to new heights — like skydiving at 15,000 feet! In high school, he managed to ace his classes while playing football and baseball, and was even named MVP. Above all, values kindness and hard work. He worked hard to get his real estate license and now has a real estate job he loves. But he still finds time to give back, something he learned from his amazing father, who always helps a stranger in need.",6'2 (188cm),202 lbs (92kg),Brown,Dark Brown,,Other,Real Estate,Hispanic or Latino,,,
"What’s Brewing?. Great with his hands and full of positive energy, is perfectly suited for a career in hotel management. With warm brown eyes and wry smile, he’s an extremely friendly and outgoing guy, who has great respect and admiration for his family. He enjoys volleyball, cooking – and especially loves home-brewing beer! As a compassionate and caring individual, he is a great listener and tries to never pass up a great conversation.. Maulik Pancholy Danny Pudi",5'9 (175cm),147 lbs (67kg),Brown,Black,,Bachelor,Hospitality Management,East Indian,,,
"The Best Man and Musician. It’s no surprise that has been a best man 4 times; he is good vibes personified, with an extroverted energy that just makes people happy. His great smile and dimples don’t hurt either! He’s brainy too, with a 4.2 GPA in college, where he studied film. A musical savant, he's currently writing an opera in Japanese. This 6’2” donor is athletic with a blackbelt in taekwondo.",6'1 (185cm),197 lbs (89kg),Brown,Brown,,Bachelor,"Film Studies, Mathematics",Caucasian,Catholic,,
"Blue-eyed Biologist. reminds us of the handsome Mr. Darcy from ""Pride and Prejudice."" His kind blue eyes, sensible manner, and fair skin reflect his family's deep roots in the British Isles. A cum laude graduate with an M.S. in biology (4.0 GPA), he currently teaches while pursuing his field biologist certification. This highly focused and level-headed scholar enjoys shaking things up by making craft cocktails for friends. Fun for him is a cross country road trips exploring the nation’s best BBQ joints.",5'11 (180cm),192 lbs (87kg),Blue,Brown,,Master,"Biological & Biomedical Sciences, Chemistry, Marine Biology",Caucasian,,,
"Simply Amazing. Building computers from scratch is just a hobby for this math whiz, who earned a B.A. and B.S. in Economics and Computer Science. When he’s not working on problems in integral calculus, probability, or statistics, he’s usually working out, playing tennis, or composing music, and he’s been playing piano since the age of four. He’s friendly, funny, polite and considerate, and his ultimate ambition in life is to be a wealthy philanthropist.. Dante Basco (young) Sen Bunthen",5'6 (168cm),141 lbs (64kg),Brown,Black,,Bachelor,"Computer Science, Economics",Asian,Catholic,,
"Worldly Wordsmith. Proud to have served our country, ’s military service allowed him to immerse himself in a different culture overseas. Deeply curious and open to new experiences, he is passionate about traveling. This international affairs graduate speaks Arabic fluently and can also converse in Polish and Spanish. When he isn’t busy at work writing, he enjoys playing chess, sailing, and dancing salsa & bachata. Thoughtful and reflective, check out the insightful life lessons that he shares with future offspring in his Donor Essay.. Javier Bardem Theo Rossi",5'9 (175cm),140 lbs (64kg),Green,Brown,,Master,"Arabic, International and Area Studies, Law","Asian, Caucasian",Roman Catholic,,
"Thoughtful Outdoorsman. combines a sharp mind with a rugged spirit. His brown hair and eyes sparkle with stories of resilience. Studying Ecology and skilled in creating beautiful landscapes and musical compositions, he credits his strength and emotional depth to his mother. Together, they've explored the wild, setting the foundation for his lifelong passion for nature, wildlife, and open-hearted discussions. He's a thinker and a doer, dedicated to bettering himself and the world around him.",5'8 (173cm),175 lbs (79kg),Brown,Brown,,Bachelor,"Ecology, Behavior & Evolution Biology",Caucasian,Agnostic,,
"Biotech Pioneer. Determined to cure cancer, this brown-eyed, brown-haired good manufacturing practitioner engineer works for a biotech company to help the world heal. A sweet soul, he made the all-state soccer team in high school and still competes in sports leagues today. is also an aspiring chef and loves to take care of people with home-cooked meals. Check out his family's recipe for Israeli doughnuts, he makes them every year as they hold a special place in his rich heritage.",5'8 (173cm),158 lbs (72kg),Brown,Dark Brown,,Bachelor,Material Science Engineering,Caucasian,,,
